Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
06/01/2020,"West Fleetwood Computer Clinic",,0,1,0,0,0,0,0,12
21/12/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
14/12/2019,"LDC Kassei",,0,1,0,0,0,0,0,12
07/12/2019,THINQTANQ,,0,1,0,0,0,0,0,12
17/11/2019,"Reading Hackspace rLab",,0,1,0,0,0,0,0,12
16/11/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
09/11/2019,Tooting,,0,1,0,0,0,0,0,12
09/11/2019,"Jeugdhuis Far",,0,1,0,0,0,0,0,12
20/10/2019,"Reading International Solidarity Centre (RISC)",,0,1,0,0,0,0,0,12
19/10/2019,THINQTANQ,,0,1,0,0,0,0,0,12
19/10/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
16/10/2019,"Open huis Robinia",,0,1,0,0,0,0,0,12
12/10/2019,"Gildenhuis, Peutie",,0,1,0,0,0,0,0,12
05/10/2019,"Buurtwerk Watersportbaan-Ekkergem",,0,1,0,0,0,0,0,12
01/10/2019,"Repair Café Haacht",,0,1,0,0,0,0,0,12
21/09/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
15/09/2019,"Reading Hackspace rLab",,0,1,0,0,0,0,0,12
14/09/2019,"Refter van TechnOv",,0,1,0,0,0,0,0,12
07/09/2019,Tooting,,0,1,0,0,0,0,0,12
10/08/2019,Koningslo,,0,1,0,0,0,0,0,12
03/08/2019,THINQTANQ,,0,1,0,0,0,0,0,12
21/07/2019,"Reading International Solidarity Centre (RISC)",,0,1,0,0,0,0,0,12
20/07/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
13/07/2019,"The Church Centre",,0,1,0,0,0,0,0,12
06/07/2019,"De Pastory en Buurtwerk Dampoort",,0,1,0,0,0,0,0,12
06/07/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
20/06/2019,"Lokaal dienstencentrum Wibier",,0,1,0,0,0,0,0,12
20/06/2019,Testing123,,0,1,0,0,0,0,0,12
19/06/2019,"Open huis Robinia",,0,1,0,0,0,0,0,12
16/06/2019,"Reading Hackspace rLab",,0,1,0,0,0,0,0,12
16/06/2019,"Repair Café Haacht - Wespelaar",,0,1,0,0,0,0,0,12
15/06/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
15/06/2019,"Abbey Community Centre",,0,1,0,0,0,0,0,12
15/06/2019,"Crediton Methodist Church",,0,1,0,0,0,0,0,12
14/06/2019,Houtem,,0,2,0,0,0,0,0,15
12/06/2019,"Magdala Pub",,16,3,319.98,20,1,0,0,18
09/06/2019,"Creat-A-Con, LCB Depot",,0,7,159.99,10,1,1,1,30
08/06/2019,"The Church Centre",,0,1,0,0,0,0,0,12
06/06/2019,Landen,,0,1,0,0,0,0,0,12
03/06/2019,"Hackney Fixers Party in the Park",,0,4,0,0,0,0,0,21
01/06/2019,THINQTANQ,,0,1,0,0,0,0,0,12
01/06/2019,"Sherwood Methodist Church",,0,1,0,0,0,0,0,12
01/06/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
01/06/2019,"All Saints Church Hall, Marlow",,0,1,0,0,0,0,0,12
31/05/2019,"Victoria Park ",,32,7,392.41,40.64,18,8,7,30
25/05/2019,"Bedpop Repair Shop",,0,1,0,0,0,0,0,12
25/05/2019,"Hinckley Library",,0,1,0,0,0,0,0,12
19/05/2019,"Reading International Solidarity Centre (RISC)",,0,3,0,0,0,0,0,18
19/05/2019,"STPLN Sunday Repair",,0,1,0,0,0,0,0,12
18/05/2019,Tooting,,0,3,0,0,0,0,0,18
18/05/2019,"Ruislip Manor Library",,0,2,0,0,0,0,0,15
18/05/2019,"Buckland United Reformed Church",,0,1,0,0,0,0,0,12
18/05/2019,"Crediton Methodist Church",,0,1,0,0,0,0,0,12
18/05/2019,"St Denys Community Centre",,0,1,0,0,0,0,0,12
18/05/2019,"Upcycle and Repair Fair",,0,5,0,0,0,0,0,24
17/05/2019,"Restart Party at West Hampstead Community Centre",,0,2,0,0,0,0,0,15
13/05/2019,"Rossall Tavern, Fleetwood",,0,1,0,0,0,0,0,12
12/05/2019,"Upper Norwood Library",,0,3,0,0,0,0,0,18
12/05/2019,"STPLN Sunday Repair",,0,1,0,0,0,0,0,12
11/05/2019,"The Goodlife Centre: Prepare to Repair",,0,3,0,0,0,0,0,18
11/05/2019,"The Church Centre",,0,1,0,0,0,0,0,12
11/05/2019,"RCR @ Hostel H",,0,1,0,0,0,0,0,12
11/05/2019,Faubourg,,0,1,0,0,0,0,0,12
11/05/2019,"Monkey Park",,0,1,0,0,0,0,0,12
11/05/2019,"De Meubelfabriek",,0,1,0,0,0,0,0,12
09/05/2019,"VMA, Hringteigur",,0,1,0,0,0,0,0,12
09/05/2019,"Le Réparothon du Centre-Sud!",,0,2,0,0,0,0,0,15
06/05/2019,"Festival Artístic del Barri Antic (FABA)",,0,1,0,0,0,0,0,12
05/05/2019,"#fixfest2019 a torino",,0,1,0,0,0,0,0,12
05/05/2019,"The Hong Kong University of Science and Technology",,0,1,0,0,0,0,0,12
05/05/2019,"STPLN Sunday Repair (REFER)",,0,1,0,0,0,0,0,12
04/05/2019,"Bridge Street Church (Central Leeds)",,0,3,0,0,0,0,0,18
04/05/2019,"Freemantle, Southampton",,0,1,0,0,0,0,0,12
04/05/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
04/05/2019,"Make & Fix Fest, Melton Space",,0,1,0,0,0,0,0,12
02/05/2019,Landen,,0,1,0,0,0,0,0,12
28/04/2019,Moerbeke,,0,14,129.92,21.94,10,6,5,51
28/04/2019,"The Hong Kong University of Science and Technology",,0,1,0,0,0,0,0,12
28/04/2019,"STPLN Sunday Repair",,2,4,39.85,8.05,2,0,0,21
28/04/2019,"STPLN Sunday Repair",,0,1,0,0,0,0,0,12
27/04/2019,"Gem. Basisschool",,0,1,0,0,0,0,0,12
25/04/2019,Deelfabriek,,0,6,83.15,21.38,3,0,0,27
25/04/2019,"Crediton Station Team Rooms",,0,1,0,0,0,0,0,12
24/04/2019,"Rossall Tavern, Fleetwood",,9,7,586.58,15.93,4,4,1,30
20/04/2019,"Buckland United Reformed Church",,33,12,284.65,45.34,8,6,3,45
20/04/2019,"De Pastory en Buurtwerk Dampoort",,0,1,0,0,0,0,0,12
20/04/2019,"Newlands Activity Centre",,0,1,0,0,0,0,0,12
18/04/2019,"Open Huis Oude Bareel",,0,1,0,0,0,0,0,12
16/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
15/04/2019,"Rossall Tavern, Fleetwood",,9,6,328.33,11.41,2,0,0,27
14/04/2019,"Reading Hackspace rLab",,0,8,382.63,33.6,3,0,1,33
14/04/2019,"The Welsh Mill",,0,1,0,0,0,0,0,12
14/04/2019,"Fabbrica del Vapore",,0,1,0,0,0,0,0,12
14/04/2019,Balen,,0,1,0,0,0,0,0,12
14/04/2019,"STPLN Sunday Repair (REFER)",,12,5,407.73,33.4,3,1,1,24
14/04/2019,"The Hong Kong University of Science and Technology",,0,1,0,0,0,0,0,12
13/04/2019,"Limerick FABLAB",,0,1,111.81,22.5,3,7,2,12
13/04/2019,"The Church Centre",,0,1,0,0,0,0,0,12
13/04/2019,"RCR @ Hostel H",,38,16,275.01,49.89,18,14,3,57
13/04/2019,"Gildenhuis, Peutie",,13,10,15.8,5.4,2,0,2,39
13/04/2019,"Monkey Park",,22,10,210.27,37.35,14,6,7,39
11/04/2019,"Stenkrossen Lund (REFER)",,6,5,165.93,6,4,1,0,24
11/04/2019,"Fablab Torino",,0,1,0,0,0,0,0,12
11/04/2019,"Réparothon Jeunesse au Collège Dawson",,0,1,0,0,0,0,0,12
10/04/2019,"De Ruimtevaart",,0,1,0,0,0,0,0,12
09/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
07/04/2019,"STPLN Sunday Repair",,6,4,203.81,13.56,4,2,1,21
06/04/2019,"Lausanne - Maison de Quartier Sous-Gare",,30,11,0,0,0,0,0,42
06/04/2019,"Spullenbib Leuven",,0,1,0,0,0,0,0,12
06/04/2019,THINQTANQ,,0,1,225.49,11.93,11,2,0,12
06/04/2019,"Sherwood Methodist Church",,43,12,113.61,17.98,14,11,14,45
06/04/2019,"Bridge Street Church (Central Leeds)",,12,1,126.39,12.51,6,0,0,12
06/04/2019,"Freemantle, Southampton",,0,1,0,0,0,0,0,12
06/04/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
04/04/2019,"Belsize Community Library",,10,9,360.69,14.98,5,6,1,36
04/04/2019,Landen,,0,1,0,0,0,0,0,12
03/04/2019,"Buurtwerk Watersportbaan-Ekkergem",,0,2,0,0,0,0,0,15
02/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
31/03/2019,"The Hong Kong University of Science and Technology",,10,2,71.64,0.56,4,6,0,15
31/03/2019,"STPLN Sunday Repair",,2,3,142.13,10.6,1,1,0,18
30/03/2019,"Rosie Restart Party",,13,5,13.79,2.64,4,2,3,24
26/03/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
24/03/2019,"Stamford Hill Library",,28,7,616.23,29.71,12,16,5,30
24/03/2019,"STPLN Sunday Repair",,0,3,20.4,3.7,2,2,0,18
24/03/2019,Landen,,0,1,0,0,0,0,0,12
24/03/2019,Landen,,15,8,15.61,3.54,2,0,1,33
23/03/2019,"Sportzaal Ymeria, Wijgmaal",,0,1,133.84,16.85,6,4,5,12
23/03/2019,"University of Limerick",,8,1,87.64,1.56,5,3,2,12
23/03/2019,"RePair at REfUSE Cafe",,0,2,0,0,0,0,0,15
23/03/2019,"Biblioteca in Lambrate",,55,6,517.46,46.53,25,6,9,27
23/03/2019,"Nieuw Gent",,25,12,520.61,55.27,10,4,7,45
23/03/2019,"Remake - Marknad och temadag på Mitt Möllan (REFER)",,35,6,84.56,13.99,4,2,0,27
22/03/2019,"Réparothon à l'école Saint-Fabien",,0,3,0,0,0,0,0,18
21/03/2019,"Engim Artigianelli",,5,3,66.38,1.51,2,0,0,18
21/03/2019,"VMA, Hringteigur",,10,4,163.23,22.22,5,6,3,21
20/03/2019,Newlands,,2,3,7.5,1.27,1,1,1,18
19/03/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
